Date,Gauge: 410734: Downstream Flow (ML.day^-1),Gauge: 410734: Recorded Gauging Station Flow (ML.day^-1),Total: SC #1: Outflow (ML.day^-1),Total: SC #1: Quick Flow (ML.day^-1),Total: SC #1: Slow Flow (ML.day^-1),Total: SC #2: Outflow (ML.day^-1),Total: SC #2: Quick Flow (ML.day^-1),Total: SC #2: Slow Flow (ML.day^-1)
2000-01-01,0,144.6336,0,0,0,0,0,0
2000-01-02,0,101.69280000000001,0,0,0,0,0,0
2000-01-03,0,81.820800000000006,0,0,0,0,0,0
2000-01-04,0,70.761600000000001,0,0,0,0,0,0
2000-01-05,0,60.911999999999999,0,0,0,0,0,0
2000-01-06,0,52.876800000000003,0,0,0,0,0,0
2000-01-07,0,47.692800000000005,0,0,0,0,0,0
2000-01-08,0,43.891200000000005,0,0,0,0,0,0
2000-01-09,0,42.681600000000003,0,0,0,0,0,0
2000-01-10,0,41.990400000000001,0,0,0,0,0,0
2000-01-11,0,39.830400000000004,0,0,0,0,0,0
2000-01-12,0,37.584000000000003,0,0,0,0,0,0
2000-01-13,0,35.596800000000002,0,0,0,0,0,0
2000-01-14,0,34.214400000000005,0,0,0,0,0,0
2000-01-15,0,32.054400000000001,0,0,0,0,0,0
2000-01-16,0,29.721599999999999,0,0,0,0,0,0
2000-01-17,0,28.944000000000003,0,0,0,0,0,0
2000-01-18,0,29.376000000000005,0,0,0,0,0,0
2000-01-19,0,27.993600000000004,0,0,0,0,0,0
2000-01-20,0,24.9696,0,0,0,0,0,0
2000-01-21,0,22.032000000000004,0,0,0,0,0,0
2000-01-22,0,19.526400000000002,0,0,0,0,0,0
2000-01-23,0,18.057600000000001,0,0,0,0,0,0
2000-01-24,0,17.193600000000004,0,0,0,0,0,0
2000-01-25,0,16.9344,0,0,0,0,0,0
2000-01-26,0,17.625599999999999,0,0,0,0,0,0
2000-01-27,144.76782146900294,138.58560000000003,79.117098694903206,79.117098694903206,0,65.650722774099734,65.650722774099734,0
2000-01-28,309.89191783853641,234.92160000000001,170.35539568744997,170.35539568744997,0,139.53652215108644,139.53652215108644,0
2000-01-29,41.421175360335354,101.86560000000001,21.89806902544338,21.89806902544338,0,19.52310633489197,19.52310633489197,0
2000-01-30,0,71.971199999999996,0,0,0,0,0,0
2000-01-31,8.4751132698533418,50.371200000000002,3.696763166796043,3.696763166796043,0,4.7783501030573001,4.7783501030573001,0
2000-02-01,0,39.225600000000007,0,0,0,0,0,0
2000-02-02,0,35.423999999999999,0,0,0,0,0,0
2000-02-03,0,35.251199999999997,0,0,0,0,0,0
2000-02-04,0,32.745600000000003,0,0,0,0,0,0
2000-02-05,0,28.166400000000003,0,0,0,0,0,0
2000-02-06,0,23.587200000000003,0,0,0,0,0,0
2000-02-07,0,21.427200000000003,0,0,0,0,0,0
2000-02-08,0,21.167999999999999,0,0,0,0,0,0
2000-02-09,0,20.476800000000001,0,0,0,0,0,0
2000-02-10,0,18.316800000000001,0,0,0,0,0,0
2000-02-11,0,16.070399999999999,0,0,0,0,0,0
2000-02-12,0,14.860799999999999,0,0,0,0,0,0
2000-02-13,12.963457127002817,14.256000000000002,12.963457127002817,12.963457127002817,0,0,0,0
2000-02-14,0,17.020800000000001,0,0,0,0,0,0
2000-02-15,0,18.8352,0,0,0,0,0,0
2000-02-16,0,18.8352,0,0,0,0,0,0
2000-02-17,0,19.699200000000001,0,0,0,0,0,0
2000-02-18,0,20.303999999999998,0,0,0,0,0,0
2000-02-19,0,18.748800000000003,0,0,0,0,0,0
2000-02-20,0,17.193600000000004,0,0,0,0,0,0
2000-02-21,0,13.910400000000001,0,0,0,0,0,0
2000-02-22,0,11.3184,0,0,0,0,0,0
2000-02-23,1.2195078555266647,11.664000000000001,0,0,0,1.2195078555266647,1.2195078555266647,0
2000-02-24,16.022477899945006,14.428800000000003,4.5232166846366333,4.5232166846366333,0,11.499261215308373,11.499261215308373,0
2000-02-25,0,15.4656,0,0,0,0,0,0
2000-02-26,0,14.169600000000001,0,0,0,0,0,0
2000-02-27,10.44404700592527,13.478400000000001,3.8830579519075994,3.8830579519075994,0,6.5609890540176723,6.5609890540176723,0
2000-02-28,20.181726598239706,14.601600000000001,8.7545091274675571,8.7545091274675571,0,11.427217470772147,11.427217470772147,0
2000-02-29,0,19.440000000000001,0,0,0,0,0,0
2000-03-01,0,17.280000000000001,0,0,0,0,0,0
2000-03-02,0,14.860799999999999,0,0,0,0,0,0
2000-03-03,0,13.7376,0,0,0,0,0,0
2000-03-04,0,12.3552,0,0,0,0,0,0
2000-03-05,0,11.145600000000002,0,0,0,0,0,0
2000-03-06,0,10.1088,0,0,0,0,0,0
2000-03-07,0,9.9360000000000017,0,0,0,0,0,0
2000-03-08,11.696048233700486,10.1088,11.696048233700486,11.696048233700486,0,0,0,0
2000-03-09,43.489980356484722,12.6144,33.516741310406637,33.516741310406637,0,9.9732390460780813,9.9732390460780813,0
2000-03-10,131.97991930447702,50.716799999999999,79.249776475707193,79.249776475707193,0,52.730142828769829,52.730142828769829,0
2000-03-11,175.62212815339768,103.68000000000001,98.86321456534435,98.86321456534435,0,76.758913588053318,76.758913588053318,0
2000-03-12,26.784132923379129,71.971199999999996,15.251566807851281,15.251566807851281,0,11.53256611552785,11.53256611552785,0
2000-03-13,8.0992187408810707,59.184000000000012,5.4629530871197955,5.4629530871197955,0,2.6362656537612748,2.6362656537612748,0
2000-03-14,0,43.113600000000005,0,0,0,0,0,0
2000-03-15,0,35.769600000000004,0,0,0,0,0,0
2000-03-16,0,30.499200000000002,0,0,0,0,0,0
2000-03-17,0,26.6112,0,0,0,0,0,0
2000-03-18,0,24.105600000000003,0,0,0,0,0,0
2000-03-19,0,22.032000000000004,0,0,0,0,0,0
2000-03-20,35.317931304761181,22.032000000000004,21.906351323694626,21.906351323694626,0,13.411579981066557,13.411579981066557,0
2000-03-21,99.231906288191979,26.8704,60.618079362667508,60.618079362667508,0,38.613826925524478,38.613826925524478,0
2000-03-22,27.226588239545602,41.731200000000001,16.307589495035117,16.307589495035117,0,10.918998744510485,10.918998744510485,0
2000-03-23,26.572855896377497,50.543999999999997,14.730670873753464,14.730670873753464,0,11.842185022624033,11.842185022624033,0
2000-03-24,0,50.889600000000002,0,0,0,0,0,0
2000-03-25,0,42.335999999999999,0,0,0,0,0,0
2000-03-26,0,35.942399999999999,0,0,0,0,0,0
2000-03-27,0,31.881600000000002,0,0,0,0,0,0
2000-03-28,0,28.252800000000004,0,0,0,0,0,0
2000-03-29,0,26.438400000000001,0,0,0,0,0,0
2000-03-30,0,24.883199999999999,0,0,0,0,0,0
2000-03-31,0,23.673600000000004,0,0,0,0,0,0
2000-04-01,0,22.032000000000004,0,0,0,0,0,0
2000-04-02,0,21.2544,0,0,0,0,0,0
2000-04-03,0,21.167999999999999,0,0,0,0,0,0
2000-04-04,0,22.377600000000001,0,0,0,0,0,0
2000-04-05,48.303930243848242,23.241600000000002,30.327839761008892,30.327839761008892,0,17.976090482839354,17.976090482839354,0
2000-04-06,141.25855489887266,51.321600000000004,84.351136195621322,84.351136195621322,0,56.907418703251324,56.907418703251324,0
2000-04-07,90.398256137066383,82.598399999999998,46.16445651012787,46.16445651012787,0,44.233799626938513,44.233799626938513,0
2000-04-08,11.816257950538491,52.358400000000003,5.3715773284645172,5.3715773284645172,0,6.4446806220739745,6.4446806220739745,0
2000-04-09,0,42.249600000000001,0,0,0,0,0,0
2000-04-10,0,34.819200000000002,0,0,0,0,0,0
2000-04-11,0,31.622400000000003,0,0,0,0,0,0
2000-04-12,0,28.166400000000003,0,0,0,0,0,0
2000-04-13,0,26.0928,0,0,0,0,0,0
2000-04-14,0,25.056000000000001,0,0,0,0,0,0
2000-04-15,7.787933306529899,29.462400000000002,0,0,0,7.787933306529899,7.787933306529899,0
2000-04-16,26.22306044018589,32.832000000000001,4.7245991681436514,4.7245991681436514,0,21.498461272042235,21.498461272042235,0
2000-04-17,7.6091873646189594,32.659200000000006,1.568527870784669,1.568527870784669,0,6.0406594938342897,6.0406594938342897,0
2000-04-18,25.371826866835281,31.968,13.071381961485555,13.071381961485555,0,12.300444905349728,12.300444905349728,0
2000-04-19,0,32.054400000000001,0,0,0,0,0,0
2000-04-20,0,30.585599999999999,0,0,0,0,0,0
2000-04-21,0,31.363200000000003,0,0,0,0,0,0
2000-04-22,0,27.475200000000001,0,0,0,0,0,0
2000-04-23,0,25.401600000000002,0,0,0,0,0,0
2000-04-24,0,24.7104,0,0,0,0,0,0
2000-04-25,0,23.932800000000004,0,0,0,0,0,0
2000-04-26,0,23.587200000000003,0,0,0,0,0,0
2000-04-27,0,23.328000000000003,0,0,0,0,0,0
2000-04-28,0,23.328000000000003,0,0,0,0,0,0
2000-04-29,0,22.982400000000002,0,0,0,0,0,0
2000-04-30,0,22.982400000000002,0,0,0,0,0,0
2000-05-01,0,22.982400000000002,0,0,0,0,0,0
2000-05-02,0,22.723200000000002,0,0,0,0,0,0
2000-05-03,0,22.809600000000003,0,0,0,0,0,0
2000-05-04,51.021458048326011,28.166400000000003,28.345976219518295,28.345976219518295,0,22.675481828807715,22.675481828807715,0
2000-05-05,122.21771797845808,41.644800000000004,66.368662713813393,66.368662713813393,0,55.84905526464469,55.84905526464469,0
2000-05-06,74.85022117544689,57.45600000000001,42.273092170622526,42.273092170622526,0,32.577129004824371,32.577129004824371,0
2000-05-07,59.938040365002131,53.136000000000003,34.728533111405788,34.728533111405788,0,25.209507253596339,25.209507253596339,0
2000-05-08,15.685778729683223,44.841600000000007,6.9343337673823324,6.9343337673823324,0,8.7514449623008908,7.1933150977132163,1.5581298645876738
2000-05-09,0,36.719999999999999,0,0,0,0,0,0
2000-05-10,0,32.832000000000001,0,0,0,0,0,0
2000-05-11,0,29.289600000000004,0,0,0,0,0,0
2000-05-12,0,27.216000000000001,0,0,0,0,0,0
2000-05-13,0,25.920000000000002,0,0,0,0,0,0
2000-05-14,0.1013911276904659,26.784000000000002,0,0,0,0.1013911276904659,0.075988526881450386,0.025402600809015515
2000-05-15,4.5486986456382299,26.784000000000002,0,0,0,4.5486986456382299,3.9278323168259988,0.62086632881223058
2000-05-16,0,26.0928,0,0,0,0,0,0
2000-05-17,0,25.056000000000001,0,0,0,0,0,0
2000-05-18,0,23.760000000000005,0,0,0,0,0,0
2000-05-19,0,23.500800000000002,0,0,0,0,0,0
2000-05-20,0,23.328000000000003,0,0,0,0,0,0
2000-05-21,0,22.896000000000004,0,0,0,0,0,0
2000-05-22,0,22.377600000000001,0,0,0,0,0,0
2000-05-23,0,22.377600000000001,0,0,0,0,0,0
2000-05-24,0,21.859200000000001,0,0,0,0,0,0
2000-05-25,0,21.7728,0,0,0,0,0,0
2000-05-26,0,22.032000000000004,0,0,0,0,0,0
2000-05-27,0,22.723200000000002,0,0,0,0,0,0
2000-05-28,0,23.673600000000004,0,0,0,0,0,0
2000-05-29,0.47853009054443002,23.587200000000003,0,0,0,0.47853009054443002,0.43753686476926329,0.040993225775166751
2000-05-30,5.0646567860498752,23.846400000000003,1.0295086967145164,1.0295086967145164,0,4.0351480893353591,3.8304710165041178,0.20467707283124076
2000-05-31,34.806207984661576,24.9696,18.697816000343881,18.697816000343881,0,16.108391984317699,15.749875376432009,0.35851660788569212
2000-06-01,24.602898101499413,25.920000000000002,15.644677241419251,15.644677241419251,0,8.9582208600801625,8.6903657116301218,0.26785514845004116
2000-06-02,1.600289901606726,26.8704,1.600289901606726,1.600289901606726,0,0,0,0
2000-06-03,1.7174585403857794,27.302400000000002,1.7174585403857794,1.7174585403857794,0,0,0,0
2000-06-04,0,27.043200000000002,0,0,0,0,0,0
2000-06-05,0,26.6112,0,0,0,0,0,0
2000-06-06,0,25.660800000000002,0,0,0,0,0,0
2000-06-07,0,24.796800000000001,0,0,0,0,0,0
2000-06-08,0,23.932800000000004,0,0,0,0,0,0
2000-06-09,0,23.500800000000002,0,0,0,0,0,0
2000-06-10,0,23.068800000000003,0,0,0,0,0,0
2000-06-11,0,22.377600000000001,0,0,0,0,0,0
2000-06-12,0,22.118400000000001,0,0,0,0,0,0
2000-06-13,0,22.032000000000004,0,0,0,0,0,0
2000-06-14,0,22.204800000000002,0,0,0,0,0,0
2000-06-15,0,22.377600000000001,0,0,0,0,0,0
2000-06-16,0,21.7728,0,0,0,0,0,0
2000-06-17,0,21.686400000000003,0,0,0,0,0,0
2000-06-18,0,21.5136,0,0,0,0,0,0
2000-06-19,3.0286173442813409,21.5136,2.1815028766702391,2.1815028766702391,0,0.84711446761110154,0.81455171580648056,0.032562751804620968
2000-06-20,22.521510188118331,21.945600000000002,14.114128925050995,14.114128925050995,0,8.4073812630673359,8.2577683277703233,0.14961293529701367
2000-06-21,5.877439938796015,25.401600000000002,3.1814378497850853,3.1814378497850853,0,2.6960020890109302,2.6243249910638347,0.071677097947095855
2000-06-22,36.964530482910035,30.758400000000002,20.641473285604313,20.641473285604313,0,16.323057197305719,16.153666178280488,0.16939101902523049
